molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4448117,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)CC)[C@@H](C)CC)C1CCCCC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(C)C)C(N)=O)C1CCCCC1,6700.0
CHEMBL5078185,CC[C@@H](C)[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)[C@H](N)CC(C)C)C1CCCCC1)[C@H](C)CC)C1CCCCC1)[C@H](C)CC)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(N)=O,1600.0
CHEMBL3260567,Cc1cccc(-c2[nH]c(CNc3ccccc3F)nc2-c2ccc3ncnn3c2)n1,12.9
CHEMBL5272606,Cc1cc(-c2ccnc3ccc(C(N)=O)cc23)cc(-c2cc3n(n2)CCC3)n1,56.0
CHEMBL5280211,CC(C)(C)c1cc(Nc2cc(Oc3cn(C4CC4)nc3C3CCOCC3)ccn2)ccn1,38.2
CHEMBL2364611,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,56.0
CHEMBL5279930,O=c1[nH]cc(-c2cccc(CO)c2)cc1-c1nc2cc(N3CCNCC3)ccc2[nH]1,970.0
CHEMBL5288544,CC(=O)Nc1cc(Nc2nc(-c3ccc(F)c(C)n3)nc3[nH]cnc23)ccn1,0.34
CHEMBL3704651,CCc1cnn(-c2cccc(C)n2)c1-c1cc2cnccc2s1,4.33
CHEMBL2024684,Cc1cccc(-n2nccc2-c2ccc3ncn(C)c(=O)c3c2)n1,211.0
